"1","function id ( ) bloco"
"2",{ declaracoes comandos }
"3",declaracao declaracoes
"4","vazio"
"5",tipo : lista_variaveis ;
"6","int"
"7","float"
"8","char"
"9","id"
"10",", lista_variaveis"
"11","comando comandos"
"12","atribuicao"
"13","condicional"
"14","repeticao"
"15","repeticao2"
"16",id = expressao_simples ;
"17",expressao_simples expressao’
"18",op_relacional expressao_simples
"19","<"
"20",">"
"21","=="
"22","<="
"23",">="
"24","!="
"25","termo expressao_simples’"
"26",op_soma termo expressao_simples’
"27",operacao termo’
"28",op_mult operacao termo’
"29","fator operacao’"
"30","op_exp num_int"
"31","( expressao )"
"32","numero"
"33","caracter"
"34","+"
"35","-"
"36","*"
"37","/"
"38","^"
"39","se ( expressao ) entao condicional’"
"40","comando condicional2"
"41","bloco condicional2"
"42","senao condicional2’"
"43","comando"
"44","bloco"
"45","enquanto ( expressao ) faca bloco"
"46","repita bloco ate ( expressao )"
