"","function","{","int","float","char","se","enquanto","repita","id",",",";","}","caractere","numero","(",")","+","-","*","/","^","senao","=","<",">","==","<=",">=","!=","$"
S,"1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"bloco","-1","2","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1"
declaracoes,"-1","-1","3","3","3","4","4","4","4","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1"
declaracao,"-1","-1","5","5","5","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"tipo","-1","-1","6","7","8","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"lista_variaveis","-1","-1","-1","-1","-1","-1","-1","-1","9","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"lista_variaveis’","-1","-1","-1","-1","-1","-1","-1","-1","-1","10","4","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"comandos","-1","-1","-1","-1","-1","11","11","11","11","-1","-1","4","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"comando","-1","-1","-1","-1","-1","13","14","15","12","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"atribuicao","-1","-1","-1","-1","-1","-1","-1","-1","16","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"expressao","-1","-1","-1","-1","-1","-1","-1","-1","17","-1","-1","-1","17","17","17","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"expressao’","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","4","-1","-1","-1","-1","-1","-1","-1","18","18","18","18","18","18","-1"
"op_relacional","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","19","20","21","22","23","24","-1"
expressao_simples,"-1","-1","-1","-1","-1","-1","-1","-1","25","-1","-1","-1","-1","25","25","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1"
expressao_simples’,"-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","4","-1","-1","-1","-1","4","26","26","-1","-1","-1","-1","-1","4","4","4","4","4","4","-1"
"termo","-1","-1","-1","-1","-1","-1","-1","-1","27","-1","-1","-1","27","27","27","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"termo’","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","4","-1","-1","-1","-1","4","4","4","28","28","-1","-1","-1","4","4","4","4","4","4","-1"
"operacao","-1","-1","-1","-1","-1","-1","-1","-1","29","-1","-1","-1","29","29","29","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"operacao’","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","4","-1","-1","-1","-1","4","4","4","4","4","30","-1","-1","4","4","4","4","4","4","-1"
"fator","-1","-1","-1","-1","-1","-1","-1","-1","9","-1","-1","-1","33","32","31","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"op_soma","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","34","35","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"op_mult","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","36","37","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"op_exp","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","38","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"condicional","-1","-1","-1","-1","-1","39","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"condicional’","-1","41","-1","-1","-1","40","40","40","40","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"condicional2","-1","-1","-1","-1","-1","4","4","4","4","-1","-1","4","-1","-1","-1","-1","-1","-1","-1","-1","-1","42","-1","-1","-1","-1","-1","-1","-1","-1"
"condicional2’","-1","44","-1","-1","-1","43","43","43","43","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"repeticao","-1","-1","-1","-1","-1","-1","45","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1"
"repeticao2","-1","-1","-1","-1","-1","-1","-1","46","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1"
